"Company","Job Title","Location","Actively Recruiting Indicator","LI Job Post URL","Perform Search","Link - Search Results","Find Domain from Company Name","Domain","People Search (Find People from Java Jobs Deduped Companies Table (5 April 2024)) - 2024-04-05T15:12:38.406Z"
"Capgemini","*POSITION FILLED* Capgemini Invent - 2024 Campus, Associate Consultant","New York County, NY (On-site)","18 connections work here","https://www.linkedin.com/jobs/view/3871822117/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W12djgi%2Fyqk3hOq1GoalfQ%3D%3D&trackingId=TSOQEshVPBaOeZ%2B54pyhSw%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/capgemini (+4)","https://www.linkedin.com/company/capgemini","capgemini.com","capgemini.com",
"KLA","Summer Intern","Milpitas, CA","1 school alum works here","https://www.linkedin.com/jobs/view/3870287464/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W12djgi%2Fyqk3hOq1GoalfQ%3D%3D&trackingId=pAK43W3UWvsJETWlzbo%2BTw%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/klacorp (+4)","https://www.linkedin.com/company/klacorp","kla.com","kla.com",
"Actalent","Entry Level Engineer","Greensboro, NC (On-site)","1 school alum works here","https://www.linkedin.com/jobs/view/3874428320/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=11Oc1mTeSBfFod2f7v0Hpw%3D%3D&trackingId=MwQQ8ODvOf24FujX71GiWA%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/actalentservices (+4)","https://www.linkedin.com/company/actalentservices","actalentservices.com","actalentservices.com",
"TEKsystems","Data Annotation Specialist","Palo Alto, CA (Hybrid)","1 connection works here","https://www.linkedin.com/jobs/view/3871742416/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=11Oc1mTeSBfFod2f7v0Hpw%3D%3D&trackingId=URTc58IDeiO%2F9GyXKLxXKA%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/teksystems (+4)","https://www.linkedin.com/company/teksystems","teksystems.com","teksystems.com",
"BAE Systems, Inc.","Program Management Intern- Summer/Fall 2024","Sterling Heights, MI (On-site)","5 school alumni work here","https://www.linkedin.com/jobs/view/3875359305/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=11Oc1mTeSBfFod2f7v0Hpw%3D%3D&trackingId=WzktPasKYx0hBgXi6G0NZg%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/baesystemsinc (+4)","https://www.linkedin.com/company/baesystemsinc","No Result Found",,
"AMERICAN EAGLE OUTFITTERS INC.","Summer 2024 - Global Buying Internship","New York, NY (Hybrid)","","https://www.linkedin.com/jobs/view/3872027783/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=11Oc1mTeSBfFod2f7v0Hpw%3D%3D&trackingId=bo1q9RiVSWsZtdqJNOA%2B0Q%3D%3D&trk=flagship3_search_srp_jobs","undefined (+4)",,"No Result Found",,
"HNTB","Computer Science Intern - Summer 2024","Jacksonville, FL (On-site)","","https://www.linkedin.com/jobs/view/3872154174/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=11Oc1mTeSBfFod2f7v0Hpw%3D%3D&trackingId=cmJITwgEV60ITYNDF1Ph7w%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/hntb (+4)","https://www.linkedin.com/company/hntb","hntb.com","hntb.com",
"HireTalent - Diversity Staffing & Recruiting Firm","Development Process Engineer #: 24-02079","Columbus, OH","2 connections work here","https://www.linkedin.com/jobs/view/3872557680/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=11Oc1mTeSBfFod2f7v0Hpw%3D%3D&trackingId=EThtG%2B1dltNml2hwKKAXIw%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/hiretalent_ (+4)","https://www.linkedin.com/company/hiretalent_","No Result Found",,
"Franklin Energy","Data & Analytics Specialist – People and Culture (HR)","United States (Remote)","","https://www.linkedin.com/jobs/view/3875030128/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=11Oc1mTeSBfFod2f7v0Hpw%3D%3D&trackingId=bnaKKWmf0V%2BYMcWj5B7kZg%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/franklin-energy-services (+4)","https://www.linkedin.com/company/franklin-energy-services","franklinenergy.com","franklinenergy.com",
"DXC Technology","Senior Assistant Customer Support","Oklahoma, United States (Remote)","3 connections work here","https://www.linkedin.com/jobs/view/3871304368/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=x4EAWGPVnWHkqh2EiArAuQ%3D%3D&trackingId=hJ6pt%2Fw55p%2FIwMMTvhCbAw%3D%3D&trk=flagship3_search_srp_jobs","https://www.linkedin.com/company/dxctechnology (+4)","https://www.linkedin.com/company/dxctechnology","dxc.com","dxc.com",
